Title,Subtitle,Author,Publisher,PublicationDate,Pages,Language,Format,Play_CSV,Play_CA,Play_US,Books_com,Books_ca,FrontCoverPreview,Cover_HD_z3,Cover_HD_z2,Books_Search,Books_ISBN_Search,VolumeID_From_Play
Echo Protocol,Last Transmission – Part I: Signal Found,Guillaume Lessard,iD01t Productions,D:2025-05-02,38.0,eng,Digital,https://play.google.com/store/books/details?id=TedaEQAAQBAJ,https://play.google.com/store/books/details?id=TedaEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=TedaEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=TedaEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=TedaEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=TedaEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=TedaEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=TedaEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Echo+Protocol+Guillaume+Lessard,,TedaEQAAQBAJ
Anarchy and Evolution,The History of Punk Music From Rebellion to Revolution: A Cultural Odyssey,Guillaume Lessard,iD01t Productions,D:2024-12-20,30.0,eng,Digital,https://play.google.com/store/books/details?id=Ys45EQAAQBAJ,https://play.google.com/store/books/details?id=Ys45EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=Ys45EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=Ys45EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=Ys45EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=Ys45EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=Ys45EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=Ys45EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Anarchy+and+Evolution+Guillaume+Lessard,,Ys45EQAAQBAJ
"ADVANCED TACTICS, PSYCHOLOGICAL PLAY, AND TOURNAMENT PREPARATION",The Complete Guide to Competitive Chess Mastery,Guillaume Lessard,iD01t Productions,D:2025-08-18,56.0,eng,Digital,https://play.google.com/store/books/details?id=x5B-EQAAQBAJ,https://play.google.com/store/books/details?id=x5B-EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=x5B-EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=x5B-EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=x5B-EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=x5B-EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=x5B-EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=x5B-EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=ADVANCED+TACTICS%2C+PSYCHOLOGICAL+PLAY%2C+AND+TOURNAMENT+PREPARATION+Guillaume+Lessard,,x5B-EQAAQBAJ
Beyond the Event Horizon: Solving the Black Hole Information Paradox,How Quantum Mechanics is Redefining Reality and Reshaping Our Understanding of Black Holes,Guillaume Lessard,iD01t Productions,,,fre,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEBKznCOKM,https://play.google.com/store/books/details?id=AQAAAEBKznCOKM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEBKznCOKM&gl=US&hl=en,https://books.google.com/books?id=AQAAAEBKznCOKM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEBKznCOKM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEBKznCOKM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEBKznCOKM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEBKznCOKM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Beyond+the+Event+Horizon%3A+Solving+the+Black+Hole+Information+Paradox+Guillaume+Lessard,,AQAAAEBKznCOKM
Mastering Xcode,Building Professional iOS and macOS Apps from Scratch,Guillaume Lessard,iD01t Productions,D:2024-12-21,50.0,eng,Digital,https://play.google.com/store/books/details?id=Fdo5EQAAQBAJ,https://play.google.com/store/books/details?id=Fdo5EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=Fdo5EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=Fdo5EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=Fdo5EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=Fdo5EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=Fdo5EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=Fdo5EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Mastering+Xcode+Guillaume+Lessard,,Fdo5EQAAQBAJ
Panneaux Solaires Organiques : L’Énergie Vivante du Futur,"Comprendre, construire et maîtriser les technologies photovoltaïques organiques flexibles et écologiques",Guillaume Lessard,iD01t Productions,,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEDKlRDVyM,https://play.google.com/store/books/details?id=AQAAAEDKlRDVyM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEDKlRDVyM&gl=US&hl=en,https://books.google.com/books?id=AQAAAEDKlRDVyM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEDKlRDVyM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEDKlRDVyM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEDKlRDVyM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEDKlRDVyM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Panneaux+Solaires+Organiques+%3A+L%E2%80%99%C3%89nergie+Vivante+du+Futur+Guillaume+Lessard,,AQAAAEDKlRDVyM
"The Adventure of iD01t Productions: A Story of Passion, Resilience and Creativity","Create, innovate and grow solo, while drawing inspiration from life.",Guillaume Lessard,iD01t Productions,D:2025-01-22,32.0,eng,Digital,https://play.google.com/store/books/details?id=U8ZAEQAAQBAJ,https://play.google.com/store/books/details?id=U8ZAEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=U8ZAEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=U8ZAEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=U8ZAEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=U8ZAEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=U8ZAEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=U8ZAEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=The+Adventure+of+iD01t+Productions%3A+A+Story+of+Passion%2C+Resilience+and+Creativity+Guillaume+Lessard,,U8ZAEQAAQBAJ
The Art of Beauty,From Ancient Rituals to Modern Skincare,Guillaume Lessard,iD01t Productions,,81.0,eng,Digital,https://play.google.com/store/books/details?id=FvN4EQAAQBAJ,https://play.google.com/store/books/details?id=FvN4EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=FvN4EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=FvN4EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=FvN4EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=FvN4EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=FvN4EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=FvN4EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=The+Art+of+Beauty+Guillaume+Lessard,,FvN4EQAAQBAJ
The Artifact’s Whisper,"A Tale of Love, Betrayal, and the Secrets of Time",Guillaume Lessard,iD01t Productions,D:2024-12-21,86.0,eng,Digital,https://play.google.com/store/books/details?id=L9o5EQAAQBAJ,https://play.google.com/store/books/details?id=L9o5EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=L9o5EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=L9o5EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=L9o5EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=L9o5EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=L9o5EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=L9o5EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=The+Artifact%E2%80%99s+Whisper+Guillaume+Lessard,,L9o5EQAAQBAJ
Love Prevails,"Unmasking Shadows, Unearthing Truths",Guillaume Lessard,iD01t Productions,D:2024-12-20,109.0,eng,Digital,https://play.google.com/store/books/details?id=ZM45EQAAQBAJ,https://play.google.com/store/books/details?id=ZM45EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=ZM45EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=ZM45EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=ZM45EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=ZM45EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=ZM45EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=ZM45EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Love+Prevails+Guillaume+Lessard,,ZM45EQAAQBAJ
Visual Basic Zero to Hero (Edition #2),Mastering the Versatile Language for Rapid Application Development,Guillaume Lessard,iD01t Productions,D:2024-12-15,29.0,eng,Digital,https://play.google.com/store/books/details?id=lRc4EQAAQBAJ,https://play.google.com/store/books/details?id=lRc4EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=lRc4EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=lRc4EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=lRc4EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=lRc4EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=lRc4EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=lRc4EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Visual+Basic+Zero+to+Hero+%28Edition+%232%29+Guillaume+Lessard,,lRc4EQAAQBAJ
Master IT Yourself,A DIY Guide to Building Your IT Skills,Guillaume Lessard,iD01t Productions,D:2024-12-15,104.0,eng,Digital,https://play.google.com/store/books/details?id=VRc4EQAAQBAJ,https://play.google.com/store/books/details?id=VRc4EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=VRc4EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=VRc4EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=VRc4EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=VRc4EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=VRc4EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=VRc4EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Master+IT+Yourself+Guillaume+Lessard,,VRc4EQAAQBAJ
Le pont entre les mondes,Guide pratique pour se connecter aux énergies et dimensions parallèles,Guillaume Lessard,iD01t Productions,D:2025-03-02,29.0,fre,Digital,https://play.google.com/store/books/details?id=wXlLEQAAQBAJ,https://play.google.com/store/books/details?id=wXlLEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=wXlLEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=wXlLEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=wXlLEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=wXlLEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=wXlLEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=wXlLEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Le+pont+entre+les+mondes+Guillaume+Lessard,,wXlLEQAAQBAJ
Understanding Your Cat's Mind,A Journey into Feline Psychology,Guillaume Lessard,iD01t Productions,,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEDyq2jriM,https://play.google.com/store/books/details?id=AQAAAEDyq2jriM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEDyq2jriM&gl=US&hl=en,https://books.google.com/books?id=AQAAAEDyq2jriM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEDyq2jriM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEDyq2jriM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEDyq2jriM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEDyq2jriM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Understanding+Your+Cat%27s+Mind+Guillaume+Lessard,,AQAAAEDyq2jriM
The End of an Era: The TikTok Shutdown in the USA,"Exploring the Rise, Fall, and Ripple Effects of a Digital Phenomenon",Guillaume Lessard,iD01t Productions,D:2025-01-10,18.0,eng,Digital,https://play.google.com/store/books/details?id=ZZs9EQAAQBAJ,https://play.google.com/store/books/details?id=ZZs9EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=ZZs9EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=ZZs9EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=ZZs9EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=ZZs9EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=ZZs9EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=ZZs9EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=The+End+of+an+Era%3A+The+TikTok+Shutdown+in+the+USA+Guillaume+Lessard,,ZZs9EQAAQBAJ
Uniendo mundos,Guía práctica para conectar con energías y dimensiones paralelas,Guillaume Lessard,iD01t Productions,D:2025-03-02,29.0,spa,Digital,https://play.google.com/store/books/details?id=CXpLEQAAQBAJ,https://play.google.com/store/books/details?id=CXpLEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=CXpLEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=CXpLEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=CXpLEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=CXpLEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=CXpLEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=CXpLEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Uniendo+mundos+Guillaume+Lessard,,CXpLEQAAQBAJ
Python Mastery: The Complete Guide to Building Profitable Applications,"From Zero to Professional Developer in 90 Days - A Comprehensive Manual for Beginners, Intermediates, and Professionals",Guillaume Lessard,iD01t Productions,D:2025-08-09,66.0,eng,Digital,https://play.google.com/store/books/details?id=HHR4EQAAQBAJ,https://play.google.com/store/books/details?id=HHR4EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=HHR4EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=HHR4EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=HHR4EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=HHR4EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=HHR4EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=HHR4EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Python+Mastery%3A+The+Complete+Guide+to+Building+Profitable+Applications+Guillaume+Lessard,,HHR4EQAAQBAJ
🌿 La Charte des Relations Sacrées de la Nouvelle Terre,"Un guide pour aimer librement, en conscience et en vérité",Guillaume Lessard,iD01t Productions,D:2025-06-25,44.0,fre,Digital,https://play.google.com/store/books/details?id=P3NoEQAAQBAJ,https://play.google.com/store/books/details?id=P3NoEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=P3NoEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=P3NoEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=P3NoEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=P3NoEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=P3NoEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=P3NoEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=%F0%9F%8C%BF+La+Charte+des+Relations+Sacr%C3%A9es+de+la+Nouvelle+Terre+Guillaume+Lessard,,P3NoEQAAQBAJ
Meisterschaft im Schach,Professioneller Leitfaden zu Gewinnstrategien und Techniken,Guillaume Lessard,iD01t Productions,D:2025-08-15,134.0,ger,Digital,https://play.google.com/store/books/details?id=bQ5-EQAAQBAJ,https://play.google.com/store/books/details?id=bQ5-EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=bQ5-EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=bQ5-EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=bQ5-EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=bQ5-EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=bQ5-EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=bQ5-EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Meisterschaft+im+Schach+Guillaume+Lessard,,bQ5-EQAAQBAJ
The Architect’s Legacy,The Fight for Freedom Continues,Guillaume Lessard,iD01t Productions,D:2024-12-18,47.0,eng,Digital,https://play.google.com/store/books/details?id=H_A4EQAAQBAJ,https://play.google.com/store/books/details?id=H_A4EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=H_A4EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=H_A4EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=H_A4EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=H_A4EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=H_A4EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=H_A4EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=The+Architect%E2%80%99s+Legacy+Guillaume+Lessard,,H_A4EQAAQBAJ
Before the storm,"The Rise of a Fearless Journalist, Edition 2",Guillaume Lessard,iD01t Productions,D:2024-12-07,65.0,eng,Digital,https://play.google.com/store/books/details?id=0Yo2EQAAQBAJ,https://play.google.com/store/books/details?id=0Yo2EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=0Yo2EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=0Yo2EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=0Yo2EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=0Yo2EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=0Yo2EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=0Yo2EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Before+the+storm+Guillaume+Lessard,,0Yo2EQAAQBAJ
L'énigme quantique : Percer les mystères de la réalité,"Exploration de la mécanique quantique, des mondes parallèles et de la nature de la conscience",Guillaume Lessard,iD01t Productions,D:2025-02-24,112.0,fre,Digital,https://play.google.com/store/books/details?id=WDRJEQAAQBAJ,https://play.google.com/store/books/details?id=WDRJEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=WDRJEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=WDRJEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=WDRJEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=WDRJEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=WDRJEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=WDRJEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=L%27%C3%A9nigme+quantique+%3A+Percer+les+myst%C3%A8res+de+la+r%C3%A9alit%C3%A9+Guillaume+Lessard,,WDRJEQAAQBAJ
L'Alchimie de la Transformation,Les Secrets de l'Équilibre et de l'Abondance,Guillaume Lessard,iD01t Productions,D:2025-06-19,28.0,fre,Digital,https://play.google.com/store/books/details?id=mPpmEQAAQBAJ,https://play.google.com/store/books/details?id=mPpmEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=mPpmEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=mPpmEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=mPpmEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=mPpmEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=mPpmEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=mPpmEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=L%27Alchimie+de+la+Transformation+Guillaume+Lessard,,mPpmEQAAQBAJ
Sacred Vibrational Technology,"Scientific Explanations, Rituals, & Programming",Guillaume Lessard,iD01t Productions,,29.0,fre,Digital,https://play.google.com/store/books/details?id=URVYEQAAQBAJ,https://play.google.com/store/books/details?id=URVYEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=URVYEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=URVYEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=URVYEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=URVYEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=URVYEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=URVYEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Sacred+Vibrational+Technology+Guillaume+Lessard,,URVYEQAAQBAJ
The Real Guide To Using AI To Generate Perfect Veo 3 Requests,"A comprehensive handbook with advanced JSON techniques, secret optimization methods, complete schemas, validators, prompt engineering systems, and enterprise-grade workflows",Guillaume Lessard,iD01t Productions,D:2025-08-23,110.0,eng,Digital,https://play.google.com/store/books/details?id=PoCAEQAAQBAJ,https://play.google.com/store/books/details?id=PoCAEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=PoCAEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=PoCAEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=PoCAEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=PoCAEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=PoCAEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=PoCAEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=The+Real+Guide+To+Using+AI+To+Generate+Perfect+Veo+3+Requests+Guillaume+Lessard,,PoCAEQAAQBAJ
Shadows Reignited,Lisa’s Fight for Justice,Guillaume Lessard,iD01t Productions,,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEDyzUmNqM,https://play.google.com/store/books/details?id=AQAAAEDyzUmNqM&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEDyzUmNqM&gl=US&hl=en,https://books.google.com/books?id=AQAAAEDyzUmNqM&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEDyzUmNqM&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEDyzUmNqM&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEDyzUmNqM&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEDyzUmNqM&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Shadows+Reignited+Guillaume+Lessard,,AQAAAEDyzUmNqM
Earthquakes Unveiled,"Understanding, Predicting, and Preparing for Nature’s Most Powerful Force",Guillaume Lessard,iD01t Productions,,,eng,Audiobook,https://play.google.com/store/audiobooks/details?id=AQAAAEDybRwt_M,https://play.google.com/store/books/details?id=AQAAAEDybRwt_M&gl=CA&hl=en,https://play.google.com/store/books/details?id=AQAAAEDybRwt_M&gl=US&hl=en,https://books.google.com/books?id=AQAAAEDybRwt_M&hl=en&source=gbs_api,https://books.google.ca/books?id=AQAAAEDybRwt_M&hl=en&source=gbs_api,https://books.google.com/books?id=AQAAAEDybRwt_M&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=AQAAAEDybRwt_M&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=AQAAAEDybRwt_M&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Earthquakes+Unveiled+Guillaume+Lessard,,AQAAAEDybRwt_M
Beneath the Bloom,Shadows Unleashed Every Secret Brings a Storm,Guillaume Lessard,iD01t Productions,D:2024-12-15,43.0,eng,Digital,https://play.google.com/store/books/details?id=wRQ4EQAAQBAJ,https://play.google.com/store/books/details?id=wRQ4EQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=wRQ4EQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=wRQ4EQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=wRQ4EQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=wRQ4EQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=wRQ4EQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=wRQ4EQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Beneath+the+Bloom+Guillaume+Lessard,,wRQ4EQAAQBAJ
Lettre à celle que j'aime toujours,Hommage à L'amour libre même sans présence,Guillaume Lessard,iD01t Productions,D:2025-07-24,65.0,fre,Digital,https://play.google.com/store/books/details?id=6G5zEQAAQBAJ,https://play.google.com/store/books/details?id=6G5zEQAAQBAJ&gl=CA&hl=en,https://play.google.com/store/books/details?id=6G5zEQAAQBAJ&gl=US&hl=en,https://books.google.com/books?id=6G5zEQAAQBAJ&hl=en&source=gbs_api,https://books.google.ca/books?id=6G5zEQAAQBAJ&hl=en&source=gbs_api,https://books.google.com/books?id=6G5zEQAAQBAJ&printsec=frontcover&hl=en,https://books.google.com/books/publisher/content?id=6G5zEQAAQBAJ&printsec=frontcover&img=1&zoom=3,https://books.google.com/books/publisher/content?id=6G5zEQAAQBAJ&printsec=frontcover&img=1&zoom=2,https://books.google.com/books?as_q=Lettre+%C3%A0+celle+que+j%27aime+toujours+Guillaume+Lessard,,6G5zEQAAQBAJ
